canonical_key	rank	token_id	decoded	count	share_pct	status	bitmask_popcount	bitmask_signature
ron_Latn	47	3751	' из'	3714	0.000368	text	5	ru,uk,bg,mk,sr-Cyrl
ron_Latn	48	1570	'я'	3548	0.000352	text	3	ru,uk,bg
ron_Latn	49	37708	'leş'	3528	0.000350	text	2	tr,az
ron_Latn	50	1810	' о'	3517	0.000349	text	5	ru,uk,bg,mk,sr-Cyrl
vie_Latn	1	1789	'п'	18161	0.001812	text	5	ru,uk,bg,mk,sr-Cyrl
vie_Latn	2	4093	'ø'	15038	0.001500	text	2	da,nb
vie_Latn	3	4547	'ā'	12096	0.001207	text	1	lv
vie_Latn	4	1792	'ö'	11451	0.001142	text	9	de,hu,nl,sv,tr,az,fi,et...+1
vie_Latn	5	6344	'û'	9452	0.000943	text	1	fr
vie_Latn	6	7884	'ï'	8201	0.000818	text	3	fr,nl,ca
vie_Latn	7	1588	' п'	5673	0.000566	text	5	ru,uk,bg,mk,sr-Cyrl
vie_Latn	8	1654	'ä'	5631	0.000562	text	6	de,nl,sv,fi,sk,et
vie_Latn	9	105678	'ïc'	3594	0.000359	text	3	fr,nl,ca
vie_Latn	10	2803	'å'	3040	0.000303	text	4	da,sv,fi,nb
vie_Latn	11	16096	'ō'	2753	0.000275	no_in_scope_chars	0	(none)
